Id,Make,Model,Year,CarType,AirConditioner,DateModified
1,Volvo,S60,2010,1,1,2019-07-04 10:41:31.0200000
2,Audi,A4,2002,1,1,2019-07-04 10:41:31.0209381
3,BMW,535d,2006,1,1,2019-07-04 10:41:31.0209381
4,BMW,320d,2006,1,0,2019-07-04 10:41:31.0209381
5,VW,Passat,2007,1,0,2019-07-04 10:41:31.0209381
6,VW,Passat,2008,1,1,2019-07-04 10:41:31.0209381
7,Peugeot,407,2006,1,1,2019-07-04 10:41:31.0209381
8,Honda,Accord,2008,1,0,2019-07-04 10:41:31.0209381
9,Alfa Romeo,159,2008,1,0,2019-07-04 10:41:31.0209381
10,Nissan,Almera,2001,1,1,2019-07-04 10:41:31.0209381
11,Mitsubishi,Lancer,2008,1,1,2019-07-04 10:41:31.0209381
12,Opel,Vectra,2008,1,1,2019-07-04 10:41:31.0209381
13,Toyota,Avensis,2006,1,0,2019-07-04 10:41:31.0209381
14,Toyota,Avensis,2008,1,1,2019-07-04 10:41:31.0209381
15,Toyota,Avensis,2008,1,1,2019-07-04 10:41:31.0209381
16,Audi,Q7,2007,0,1,2019-07-04 10:41:31.0209381
17,Hyundai,Santa Fe,2012,0,1,2019-07-04 10:41:31.0209381
18,Hyundai,Santa Fe,2013,0,1,2019-07-04 10:41:31.0209381
19,Nissan,Qashqai,2007,0,1,2019-07-04 10:41:31.0209381
20,Mercedez,B Class,2007,2,1,2019-07-04 10:41:31.0209381
21,Lancia,Ypsilon,2006,2,1,2019-07-04 10:41:31.0209381
22,BMW,315 (75PS),1981,1,1,2019-07-04 11:15:55.0489381
23,BMW,316 (90PS),1975,1,0,2019-07-04 11:15:55.1119381
24,BMW,316 (90PS),1980,1,1,2019-07-04 11:15:55.1549381
25,BMW,318 (98PS),1975,1,0,2019-07-04 11:15:55.1999381
26,BMW,318i (105PS),1980,1,1,2019-07-04 11:15:55.2469381
27,BMW,320 (109PS),1975,1,0,2019-07-04 11:15:55.2909381
28,BMW,320i (125PS),1975,1,0,2019-07-04 11:15:55.3369381
29,BMW,320 (122PS),1977,1,0,2019-07-04 11:15:55.3819381
30,BMW,323i (143PS),1977,1,0,2019-07-04 11:15:55.4299381
31,BMW,316i (100PS),1988,1,1,2019-07-04 11:15:55.4759381
32,BMW,316 (90PS),1983,1,1,2019-07-04 11:15:55.5199381
33,BMW,316i Kat (102PS),1987,1,1,2019-07-04 11:15:55.5659381
